dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.309978,3.264410,3.584902,1.136392,-3.406492,3.502196,1.527050
0.020000,2.310868,3.285787,3.606297,1.069778,-3.330706,3.789279,1.531308
0.020000,2.311621,3.305868,3.626392,1.004724,-3.252699,3.900388,1.535252
0.020000,2.312256,3.324686,3.645220,0.941427,-3.164836,4.393124,1.538899
0.020000,2.312788,3.342273,3.662816,0.879781,-3.082306,4.126484,1.542266
0.020000,2.313230,3.358667,3.679216,0.819992,-2.989454,4.642636,1.545369
0.020000,2.313596,3.373904,3.694457,0.762046,-2.897331,4.606148,1.548223
0.020000,2.313896,3.388020,3.708576,0.705960,-2.804300,4.651551,1.550842
0.020000,2.314140,3.401055,3.721614,0.651892,-2.703372,5.046367,1.553239
0.020000,2.314338,3.413049,3.733609,0.599786,-2.605330,4.902132,1.555427
0.020000,2.314496,3.424042,3.744603,0.549687,-2.504911,5.020953,1.557417
0.020000,2.314621,3.434074,3.754636,0.501659,-2.401415,5.174758,1.559222
0.020000,2.314719,3.443189,3.763751,0.455755,-2.295222,5.309658,1.560851
0.020000,2.314795,3.451427,3.771989,0.411903,-2.192567,5.132770,1.562315
0.020000,2.314853,3.458831,3.779395,0.370259,-2.082218,5.517463,1.563625
0.020000,2.314897,3.465446,3.786009,0.330729,-1.976471,5.287310,1.564790
0.020000,2.314929,3.471313,3.791877,0.293372,-1.867882,5.429472,1.565819
0.020000,2.314952,3.476478,3.797041,0.258222,-1.757503,5.518969,1.566721
0.020000,2.314969,3.480983,3.801546,0.225258,-1.648180,5.466145,1.567507
0.020000,2.314980,3.484874,3.805437,0.194549,-1.535453,5.636312,1.568183
0.020000,2.314988,3.488196,3.808759,0.166089,-1.422992,5.623080,1.568759
0.020000,2.314993,3.490991,3.811554,0.139771,-1.315889,5.355145,1.569243
0.020000,2.314996,3.493307,3.813871,0.115809,-1.198118,5.888532,1.569643
0.020000,2.314998,3.495188,3.815751,0.094031,-1.088885,5.461653,1.569968
0.020000,2.314999,3.496678,3.817242,0.074517,-0.975712,5.658650,1.570224
0.020000,2.315000,3.497824,3.818387,0.057294,-0.861177,5.726740,1.570422
0.020000,2.315000,3.498670,3.819234,0.042325,-0.748433,5.637246,1.570568
0.020000,2.315000,3.499263,3.819826,0.029617,-0.635374,5.652932,1.570670
0.020000,2.315000,3.499646,3.820210,0.019176,-0.522089,5.664258,1.570735
0.020000,2.315000,3.499866,3.820430,0.011003,-0.408650,5.671938,1.570773
0.020000,2.315000,3.499968,3.820532,0.005100,-0.295116,5.676688,1.570791
0.020000,2.315000,3.499998,3.820561,0.001470,-0.181532,5.679221,1.570796
0.020000,2.315000,3.500000,3.820563,0.000111,-0.067927,5.680255,1.570796
0.020000,2.315000,3.500000,3.820563,0.000000,-0.005561,3.118288,1.570796
